,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_encoded,Embarked_encoded,Age_categorized
159,0,3,male,27.0,8,2,69.55,S,1,2,2
160,0,3,male,44.0,0,1,16.1,S,1,2,3
161,1,2,female,40.0,0,0,15.75,S,0,2,2
162,0,3,male,26.0,0,0,7.775,S,1,2,2
163,0,3,male,17.0,0,0,8.6625,S,1,2,1
164,0,3,male,1.0,4,1,39.6875,S,1,2,1
165,1,3,male,9.0,0,2,20.525,S,1,2,1
166,1,1,female,35.0,0,1,55.0,S,0,2,2
167,0,3,female,45.0,1,4,27.9,S,0,2,3
168,0,1,male,41.0,0,0,25.925,S,1,2,3
169,0,3,male,28.0,0,0,56.4958,S,1,2,2
170,0,1,male,61.0,0,0,33.5,S,1,2,4
171,0,3,male,4.0,4,1,29.125,Q,1,1,1
172,1,3,female,1.0,1,1,11.1333,S,0,2,1
173,0,3,male,21.0,0,0,7.925,S,1,2,2
174,0,1,male,56.0,0,0,30.6958,C,1,0,3
175,0,3,male,18.0,1,1,7.8542,S,1,2,1
176,0,3,male,27.0,3,1,25.4667,S,1,2,2
177,0,1,female,50.0,0,0,28.7125,C,0,0,3
178,0,2,male,30.0,0,0,13.0,S,1,2,2
179,0,3,male,36.0,0,0,0.0,S,1,2,2
180,0,3,female,22.0,8,2,69.55,S,0,2,2
181,0,2,male,31.0,0,0,15.05,C,1,0,2
182,0,3,male,9.0,4,2,31.3875,S,1,2,1
183,1,2,male,1.0,2,1,39.0,S,1,2,1
184,1,3,female,4.0,0,2,22.025,S,0,2,1
185,0,1,male,41.0,0,0,50.0,S,1,2,3
186,1,3,female,22.0,1,0,15.5,Q,0,1,2
187,1,1,male,45.0,0,0,26.55,S,1,2,3
188,0,3,male,40.0,1,1,15.5,Q,1,1,2
189,0,3,male,36.0,0,0,7.8958,S,1,2,2
190,1,2,female,32.0,0,0,13.0,S,0,2,2
191,0,2,male,19.0,0,0,13.0,S,1,2,2
192,1,3,female,19.0,1,0,7.8542,S,0,2,2
193,1,2,male,3.0,1,1,26.0,S,1,2,1
194,1,1,female,44.0,0,0,27.7208,C,0,0,3
195,1,1,female,58.0,0,0,146.5208,C,0,0,3
196,0,3,male,27.0,0,0,7.75,Q,1,1,2
197,0,3,male,42.0,0,1,8.4042,S,1,2,3
198,1,3,female,22.0,0,0,7.75,Q,0,1,2
199,0,2,female,24.0,0,0,13.0,S,0,2,2
200,0,3,male,28.0,0,0,9.5,S,1,2,2
201,0,3,male,27.0,8,2,69.55,S,1,2,2
202,0,3,male,34.0,0,0,6.4958,S,1,2,2
203,0,3,male,45.5,0,0,7.225,C,1,0,3
204,1,3,male,18.0,0,0,8.05,S,1,2,1
205,0,3,female,2.0,0,1,10.4625,S,0,2,1
206,0,3,male,32.0,1,0,15.85,S,1,2,2
207,1,3,male,26.0,0,0,18.7875,C,1,0,2
208,1,3,female,16.0,0,0,7.75,Q,0,1,1
209,1,1,male,40.0,0,0,31.0,C,1,0,2
210,0,3,male,24.0,0,0,7.05,S,1,2,2
211,1,2,female,35.0,0,0,21.0,S,0,2,2
212,0,3,male,22.0,0,0,7.25,S,1,2,2
213,0,2,male,30.0,0,0,13.0,S,1,2,2
214,0,3,male,27.0,1,0,7.75,Q,1,1,2
215,1,1,female,31.0,1,0,113.275,C,0,0,2
216,1,3,female,27.0,0,0,7.925,S,0,2,2
217,0,2,male,42.0,1,0,27.0,S,1,2,3
218,1,1,female,32.0,0,0,76.2917,C,0,0,2
219,0,2,male,30.0,0,0,10.5,S,1,2,2
220,1,3,male,16.0,0,0,8.05,S,1,2,1
221,0,2,male,27.0,0,0,13.0,S,1,2,2
222,0,3,male,51.0,0,0,8.05,S,1,2,3
223,0,3,male,27.0,0,0,7.8958,S,1,2,2
224,1,1,male,38.0,1,0,90.0,S,1,2,2
225,0,3,male,22.0,0,0,9.35,S,1,2,2
226,1,2,male,19.0,0,0,10.5,S,1,2,2
227,0,3,male,20.5,0,0,7.25,S,1,2,2
228,0,2,male,18.0,0,0,13.0,S,1,2,1
229,0,3,female,22.0,3,1,25.4667,S,0,2,2
230,1,1,female,35.0,1,0,83.475,S,0,2,2
231,0,3,male,29.0,0,0,7.775,S,1,2,2
232,0,2,male,59.0,0,0,13.5,S,1,2,3
233,1,3,female,5.0,4,2,31.3875,S,0,2,1
234,0,2,male,24.0,0,0,10.5,S,1,2,2
235,0,3,female,22.0,0,0,7.55,S,0,2,2
236,0,2,male,44.0,1,0,26.0,S,1,2,3
237,1,2,female,8.0,0,2,26.25,S,0,2,1
238,0,2,male,19.0,0,0,10.5,S,1,2,2
239,0,2,male,33.0,0,0,12.275,S,1,2,2
240,0,3,female,22.0,1,0,14.4542,C,0,0,2
241,1,3,female,22.0,1,0,15.5,Q,0,1,2
242,0,2,male,29.0,0,0,10.5,S,1,2,2
243,0,3,male,22.0,0,0,7.125,S,1,2,2
244,0,3,male,30.0,0,0,7.225,C,1,0,2
245,0,1,male,44.0,2,0,90.0,Q,1,1,3
246,0,3,female,25.0,0,0,7.775,S,0,2,2
247,1,2,female,24.0,0,2,14.5,S,0,2,2
248,1,1,male,37.0,1,1,52.5542,S,1,2,2
249,0,2,male,54.0,1,0,26.0,S,1,2,3
250,0,3,male,27.0,0,0,7.25,S,1,2,2
251,0,3,female,29.0,1,1,10.4625,S,0,2,2
252,0,1,male,62.0,0,0,26.55,S,1,2,4
253,0,3,male,30.0,1,0,16.1,S,1,2,2
254,0,3,female,41.0,0,2,20.2125,S,0,2,3
255,1,3,female,29.0,0,2,15.2458,C,0,0,2
256,1,1,female,35.0,0,0,79.2,C,0,0,2
257,1,1,female,30.0,0,0,86.5,S,0,2,2
258,1,1,female,35.0,0,0,512.3292,C,0,0,2
259,1,2,female,50.0,0,1,26.0,S,0,2,3
260,0,3,male,27.0,0,0,7.75,Q,1,1,2
261,1,3,male,3.0,4,2,31.3875,S,1,2,1
262,0,1,male,52.0,1,1,79.65,S,1,2,3
263,0,1,male,40.0,0,0,0.0,S,1,2,2
264,0,3,female,22.0,0,0,7.75,Q,0,1,2
265,0,2,male,36.0,0,0,10.5,S,1,2,2
266,0,3,male,16.0,4,1,39.6875,S,1,2,1
267,1,3,male,25.0,1,0,7.775,S,1,2,2
268,1,1,female,58.0,0,1,153.4625,S,0,2,3
269,1,1,female,35.0,0,0,135.6333,S,0,2,2
270,0,1,male,41.0,0,0,31.0,S,1,2,3
271,1,3,male,25.0,0,0,0.0,S,1,2,2
272,1,2,female,41.0,0,1,19.5,S,0,2,3
273,0,1,male,37.0,0,1,29.7,C,1,0,2
274,1,3,female,22.0,0,0,7.75,Q,0,1,2
275,1,1,female,63.0,1,0,77.9583,S,0,2,4
276,0,3,female,45.0,0,0,7.75,S,0,2,3
277,0,2,male,31.0,0,0,0.0,S,1,2,2
278,0,3,male,7.0,4,1,29.125,Q,1,1,1
279,1,3,female,35.0,1,1,20.25,S,0,2,2
280,0,3,male,65.0,0,0,7.75,Q,1,1,4
281,0,3,male,28.0,0,0,7.8542,S,1,2,2
282,0,3,male,16.0,0,0,9.5,S,1,2,1
283,1,3,male,19.0,0,0,8.05,S,1,2,2
284,0,1,male,41.0,0,0,26.0,S,1,2,3
285,0,3,male,33.0,0,0,8.6625,C,1,0,2
286,1,3,male,30.0,0,0,9.5,S,1,2,2
287,0,3,male,22.0,0,0,7.8958,S,1,2,2
288,1,2,male,42.0,0,0,13.0,S,1,2,3
289,1,3,female,22.0,0,0,7.75,Q,0,1,2
290,1,1,female,26.0,0,0,78.85,S,0,2,2
291,1,1,female,19.0,1,0,91.0792,C,0,0,2
292,0,2,male,36.0,0,0,12.875,C,1,0,2
293,0,3,female,24.0,0,0,8.85,S,0,2,2
294,0,3,male,24.0,0,0,7.8958,S,1,2,2
295,0,1,male,41.0,0,0,27.7208,C,1,0,3
296,0,3,male,23.5,0,0,7.2292,C,1,0,2
297,0,1,female,2.0,1,2,151.55,S,0,2,1
298,1,1,male,41.0,0,0,30.5,S,1,2,3
299,1,1,female,50.0,0,1,247.5208,C,0,0,3
300,1,3,female,22.0,0,0,7.75,Q,0,1,2
301,1,3,male,27.0,2,0,23.25,Q,1,1,2
302,0,3,male,19.0,0,0,0.0,S,1,2,2
303,1,2,female,29.0,0,0,12.35,Q,0,1,2
304,0,3,male,27.0,0,0,8.05,S,1,2,2
305,1,1,male,0.92,1,2,151.55,S,1,2,1
306,1,1,female,35.0,0,0,110.8833,C,0,0,2
307,1,1,female,17.0,1,0,108.9,C,0,0,1
308,0,2,male,30.0,1,0,24.0,C,1,0,2
309,1,1,female,30.0,0,0,56.9292,C,0,0,2
310,1,1,female,24.0,0,0,83.1583,C,0,0,2
311,1,1,female,18.0,2,2,262.375,C,0,0,1
312,0,2,female,26.0,1,1,26.0,S,0,2,2
313,0,3,male,28.0,0,0,7.8958,S,1,2,2
314,0,2,male,43.0,1,1,26.25,S,1,2,3
315,1,3,female,26.0,0,0,7.8542,S,0,2,2
316,1,2,female,24.0,1,0,26.0,S,0,2,2
317,0,2,male,54.0,0,0,14.0,S,1,2,3
318,1,1,female,31.0,0,2,164.8667,S,0,2,2
319,1,1,female,40.0,1,1,134.5,C,0,0,2
320,0,3,male,22.0,0,0,7.25,S,1,2,2
321,0,3,male,27.0,0,0,7.8958,S,1,2,2
322,1,2,female,30.0,0,0,12.35,Q,0,1,2
323,1,2,female,22.0,1,1,29.0,S,0,2,2
324,0,3,male,27.0,8,2,69.55,S,1,2,2
325,1,1,female,36.0,0,0,135.6333,C,0,0,2
326,0,3,male,61.0,0,0,6.2375,S,1,2,4
327,1,2,female,36.0,0,0,13.0,S,0,2,2
328,1,3,female,31.0,1,1,20.525,S,0,2,2
329,1,1,female,16.0,0,1,57.9792,C,0,0,1
330,1,3,female,22.0,2,0,23.25,Q,0,1,2
331,0,1,male,45.5,0,0,28.5,S,1,2,3
332,0,1,male,38.0,0,1,153.4625,S,1,2,2
333,0,3,male,16.0,2,0,18.0,S,1,2,1
334,1,1,female,35.0,1,0,133.65,S,0,2,2
335,0,3,male,27.0,0,0,7.8958,S,1,2,2
336,0,1,male,29.0,1,0,66.6,S,1,2,2
337,1,1,female,41.0,0,0,134.5,C,0,0,3
338,1,3,male,45.0,0,0,8.05,S,1,2,3
339,0,1,male,45.0,0,0,35.5,S,1,2,3
340,1,2,male,2.0,1,1,26.0,S,1,2,1
341,1,1,female,24.0,3,2,263.0,S,0,2,2
342,0,2,male,28.0,0,0,13.0,S,1,2,2
343,0,2,male,25.0,0,0,13.0,S,1,2,2
344,0,2,male,36.0,0,0,13.0,S,1,2,2
345,1,2,female,24.0,0,0,13.0,S,0,2,2
346,1,2,female,40.0,0,0,13.0,S,0,2,2
347,1,3,female,22.0,1,0,16.1,S,0,2,2
348,1,3,male,3.0,1,1,15.9,S,1,2,1
349,0,3,male,42.0,0,0,8.6625,S,1,2,3
350,0,3,male,23.0,0,0,9.225,S,1,2,2
351,0,1,male,41.0,0,0,35.0,S,1,2,3
352,0,3,male,15.0,1,1,7.2292,C,1,0,1
353,0,3,male,25.0,1,0,17.8,S,1,2,2
354,0,3,male,27.0,0,0,7.225,C,1,0,2
355,0,3,male,28.0,0,0,9.5,S,1,2,2
356,1,1,female,22.0,0,1,55.0,S,0,2,2
357,0,2,female,38.0,0,0,13.0,S,0,2,2
358,1,3,female,22.0,0,0,7.8792,Q,0,1,2
359,1,3,female,22.0,0,0,7.8792,Q,0,1,2
360,0,3,male,40.0,1,4,27.9,S,1,2,2
361,0,2,male,29.0,1,0,27.7208,C,1,0,2
362,0,3,female,45.0,0,1,14.4542,C,0,0,3
363,0,3,male,35.0,0,0,7.05,S,1,2,2
364,0,3,male,27.0,1,0,15.5,Q,1,1,2
365,0,3,male,30.0,0,0,7.25,S,1,2,2
366,1,1,female,60.0,1,0,75.25,C,0,0,3
367,1,3,female,22.0,0,0,7.2292,C,0,0,2
368,1,3,female,22.0,0,0,7.75,Q,0,1,2
369,1,1,female,24.0,0,0,69.3,C,0,0,2
370,1,1,male,25.0,1,0,55.4417,C,1,0,2
371,0,3,male,18.0,1,0,6.4958,S,1,2,1
372,0,3,male,19.0,0,0,8.05,S,1,2,2
373,0,1,male,22.0,0,0,135.6333,C,1,0,2
374,0,3,female,3.0,3,1,21.075,S,0,2,1
375,1,1,female,35.0,1,0,82.1708,C,0,0,2
376,1,3,female,22.0,0,0,7.25,S,0,2,2
377,0,1,male,27.0,0,2,211.5,C,1,0,2
378,0,3,male,20.0,0,0,4.0125,C,1,0,2
379,0,3,male,19.0,0,0,7.775,S,1,2,2
380,1,1,female,42.0,0,0,227.525,C,0,0,3
381,1,3,female,1.0,0,2,15.7417,C,0,0,1
382,0,3,male,32.0,0,0,7.925,S,1,2,2
383,1,1,female,35.0,1,0,52.0,S,0,2,2
384,0,3,male,27.0,0,0,7.8958,S,1,2,2
385,0,2,male,18.0,0,0,73.5,S,1,2,1
386,0,3,male,1.0,5,2,46.9,S,1,2,1
387,1,2,female,36.0,0,0,13.0,S,0,2,2
388,0,3,male,27.0,0,0,7.7292,Q,1,1,2
389,1,2,female,17.0,0,0,12.0,C,0,0,1
390,1,1,male,36.0,1,2,120.0,S,1,2,2
391,1,3,male,21.0,0,0,7.7958,S,1,2,2
392,0,3,male,28.0,2,0,7.925,S,1,2,2
393,1,1,female,23.0,1,0,113.275,C,0,0,2
394,1,3,female,24.0,0,2,16.7,S,0,2,2
395,0,3,male,22.0,0,0,7.7958,S,1,2,2
396,0,3,female,31.0,0,0,7.8542,S,0,2,2
397,0,2,male,46.0,0,0,26.0,S,1,2,3
398,0,2,male,23.0,0,0,10.5,S,1,2,2
399,1,2,female,28.0,0,0,12.65,S,0,2,2
400,1,3,male,39.0,0,0,7.925,S,1,2,2
401,0,3,male,26.0,0,0,8.05,S,1,2,2
402,0,3,female,21.0,1,0,9.825,S,0,2,2
403,0,3,male,28.0,1,0,15.85,S,1,2,2
404,0,3,female,20.0,0,0,8.6625,S,0,2,2
405,0,2,male,34.0,1,0,21.0,S,1,2,2
406,0,3,male,51.0,0,0,7.75,S,1,2,3
407,1,2,male,3.0,1,1,18.75,S,1,2,1
408,0,3,male,21.0,0,0,7.775,S,1,2,2
409,0,3,female,22.0,3,1,25.4667,S,0,2,2
410,0,3,male,27.0,0,0,7.8958,S,1,2,2
411,0,3,male,27.0,0,0,6.8583,Q,1,1,2
412,1,1,female,33.0,1,0,90.0,Q,0,1,2
413,0,2,male,31.0,0,0,0.0,S,1,2,2
414,1,3,male,44.0,0,0,7.925,S,1,2,3
415,0,3,female,22.0,0,0,8.05,S,0,2,2
416,1,2,female,34.0,1,1,32.5,S,0,2,2
417,1,2,female,18.0,0,2,13.0,S,0,2,1
418,0,2,male,30.0,0,0,13.0,S,1,2,2
419,0,3,female,10.0,0,2,24.15,S,0,2,1
420,0,3,male,27.0,0,0,7.8958,C,1,0,2
421,0,3,male,21.0,0,0,7.7333,Q,1,1,2
422,0,3,male,29.0,0,0,7.875,S,1,2,2
423,0,3,female,28.0,1,1,14.4,S,0,2,2
424,0,3,male,18.0,1,1,20.2125,S,1,2,1
425,0,3,male,27.0,0,0,7.25,S,1,2,2
426,1,2,female,28.0,1,0,26.0,S,0,2,2
427,1,2,female,19.0,0,0,26.0,S,0,2,2
428,0,3,male,27.0,0,0,7.75,Q,1,1,2
429,1,3,male,32.0,0,0,8.05,S,1,2,2
430,1,1,male,28.0,0,0,26.55,S,1,2,2
431,1,3,female,22.0,1,0,16.1,S,0,2,2
432,1,2,female,42.0,1,0,26.0,S,0,2,3
433,0,3,male,17.0,0,0,7.125,S,1,2,1
434,0,1,male,50.0,1,0,55.9,S,1,2,3
435,1,1,female,14.0,1,2,120.0,S,0,2,1
436,0,3,female,21.0,2,2,34.375,S,0,2,2
437,1,2,female,24.0,2,3,18.75,S,0,2,2
438,0,1,male,64.0,1,4,263.0,S,1,2,4
439,0,2,male,31.0,0,0,10.5,S,1,2,2
440,1,2,female,45.0,1,1,26.25,S,0,2,3
441,0,3,male,20.0,0,0,9.5,S,1,2,2
442,0,3,male,25.0,1,0,7.775,S,1,2,2
443,1,2,female,28.0,0,0,13.0,S,0,2,2
444,1,3,male,27.0,0,0,8.1125,S,1,2,2
445,1,1,male,4.0,0,2,81.8583,S,1,2,1
446,1,2,female,13.0,0,1,19.5,S,0,2,1
447,1,1,male,34.0,0,0,26.55,S,1,2,2
448,1,3,female,5.0,2,1,19.2583,C,0,0,1
449,1,1,male,52.0,0,0,30.5,S,1,2,3
450,0,2,male,36.0,1,2,27.75,S,1,2,2
451,0,3,male,27.0,1,0,19.9667,S,1,2,2
452,0,1,male,30.0,0,0,27.75,C,1,0,2
453,1,1,male,49.0,1,0,89.1042,C,1,0,3
454,0,3,male,27.0,0,0,8.05,S,1,2,2
455,1,3,male,29.0,0,0,7.8958,C,1,0,2
456,0,1,male,65.0,0,0,26.55,S,1,2,4
457,1,1,female,35.0,1,0,51.8625,S,0,2,2
458,1,2,female,50.0,0,0,10.5,S,0,2,3
459,0,3,male,27.0,0,0,7.75,Q,1,1,2
460,1,1,male,48.0,0,0,26.55,S,1,2,3
461,0,3,male,34.0,0,0,8.05,S,1,2,2
462,0,1,male,47.0,0,0,38.5,S,1,2,3
463,0,2,male,48.0,0,0,13.0,S,1,2,3
464,0,3,male,27.0,0,0,8.05,S,1,2,2
465,0,3,male,38.0,0,0,7.05,S,1,2,2
466,0,2,male,31.0,0,0,0.0,S,1,2,2
467,0,1,male,56.0,0,0,26.55,S,1,2,3
468,0,3,male,27.0,0,0,7.725,Q,1,1,2
469,1,3,female,0.75,2,1,19.2583,C,0,0,1
470,0,3,male,27.0,0,0,7.25,S,1,2,2
471,0,3,male,38.0,0,0,8.6625,S,1,2,2
472,1,2,female,33.0,1,2,27.75,S,0,2,2
473,1,2,female,23.0,0,0,13.7917,C,0,0,2
474,0,3,female,22.0,0,0,9.8375,S,0,2,2
475,0,1,male,41.0,0,0,52.0,S,1,2,3
476,0,2,male,34.0,1,0,21.0,S,1,2,2
477,0,3,male,29.0,1,0,7.0458,S,1,2,2
478,0,3,male,22.0,0,0,7.5208,S,1,2,2
479,1,3,female,2.0,0,1,12.2875,S,0,2,1
480,0,3,male,9.0,5,2,46.9,S,1,2,1
481,0,2,male,31.0,0,0,0.0,S,1,2,2
482,0,3,male,50.0,0,0,8.05,S,1,2,3
483,1,3,female,63.0,0,0,9.5875,S,0,2,4
484,1,1,male,25.0,1,0,91.0792,C,1,0,2
485,0,3,female,22.0,3,1,25.4667,S,0,2,2
486,1,1,female,35.0,1,0,90.0,S,0,2,2
487,0,1,male,58.0,0,0,29.7,C,1,0,3
